merge_key,Structure Author,PubMed Central ID,PubMed ID,Release Date,Ligand,PDB ID,Disulfide Bond Count per Deposited Model,DOI,Title,Expression Host,Source Organism,Molecular Weight (Entity),Oligomeric State,Glycosylation Site,SLC_ID,GENE,RESOLUTION,XRAY/EM,METHOD,AGGREGATION STATE,RECONSTRUCTION METHOD
7AWP,"Canul-Tec, J.C., Legrand, P., Reyes, N.",PMC8724772,34747040.0,2021-10-13,,7AWP,,10.15252/embj.2021108341,The ion-coupling mechanism of human excitatory amino acid transporters.,Homo sapiens,Homo sapiens,56.46,Homo 3-mer,,SLC1A3,SLC1A3,3.91 Å,: Homo 3-mer -,X-RAY DIFFRACTION,,
5LLM,"Canul-Tec, J., Assal, R., Legrand, P., Reyes, N.",PMC5410168,28424515.0,2017-04-19,,5LLM,,10.1038/nature22064,Structure and allosteric inhibition of excitatory amino acid transporter 1.,Homo sapiens,Homo sapiens,56.512,Monomer,,SLC1A3,SLC1A3,3.25 Å,: Monomer -,X-RAY DIFFRACTION,,
5LLU,"Canul-Tec, J., Assal, R., Legrand, P., Reyes, N.",PMC5410168,28424515.0,2017-04-19,,5LLU,,10.1038/nature22064,Structure and allosteric inhibition of excitatory amino acid transporter 1.,Homo sapiens,Homo sapiens,56.46,Homo 3-mer,,SLC1A3,SLC1A3,3.32 Å,: Homo 3-mer -,X-RAY DIFFRACTION,,
5LM4,"Canul-Tec, J., Assal, R., Legrand, P., Reyes, N.",PMC5410168,28424515.0,2017-04-19,,5LM4,,10.1038/nature22064,Structure and allosteric inhibition of excitatory amino acid transporter 1.,Homo sapiens,Homo sapiens,56.46,Monomer,,SLC1A3,SLC1A3,3.10 Å,: Monomer -,X-RAY DIFFRACTION,,
7AWM,"Canul-Tec, J.C., Legrand, P., Reyes, N.",PMC8724772,34747040.0,2021-10-13,,7AWM,,10.15252/embj.2021108341,The ion-coupling mechanism of human excitatory amino acid transporters.,Homo sapiens,Homo sapiens,56.512,Homo 3-mer,,SLC1A3,SLC1A3,3.25 Å,: Homo 3-mer -,X-RAY DIFFRACTION,,
7AWQ,"Canul-Tec, J.C., Legrand, P., Reyes, N.",PMC8724772,34747040.0,2021-10-13,,7AWQ,,10.15252/embj.2021108341,The ion-coupling mechanism of human excitatory amino acid transporters.,Homo sapiens,Homo sapiens,56.511,Homo 3-mer,,SLC1A3,SLC1A3,3.65 Å,: Homo 3-mer -,X-RAY DIFFRACTION,,
7NPW,"Kumar, A., Reyes, N.",PMC8724772,34747040.0,2021-10-13,,7NPW,,10.15252/embj.2021108341,The ion-coupling mechanism of human excitatory amino acid transporters.,Homo sapiens,Homo sapiens,51.078,Homo 3-mer,,SLC1A3,SLC1A3,3.99 Å,: Homo 3-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
5MJU,"Canul-Tec, J., Assal, R., Legrand, P., Reyes, N.",PMC5410168,28424515.0,2017-04-19,,5MJU,,10.1038/nature22064,Structure and allosteric inhibition of excitatory amino acid transporter 1.,Homo sapiens,Homo sapiens,56.512,Homo 3-mer,,SLC1A3,SLC1A3,3.71 Å,: Homo 3-mer -,X-RAY DIFFRACTION,,
5MJU,"Canul-Tec, J., Assal, R., Legrand, P., Reyes, N.",PMC5410168,28424515.0,2017-04-19,,5MJU,,10.1038/nature22064,Structure and allosteric inhibition of excitatory amino acid transporter 1.,Homo sapiens,Homo sapiens,56.512,Homo 3-mer,,SLC1A3,SLC1A5,3.71 Å,: Homo 3-mer -,X-RAY DIFFRACTION,,
6THA,"Pedersen, B.P., Paulsen, P.A., Custodio, T.F.",PMC7898563,33536238.0,2020-11-25,,6THA,,10.26508/lsa.202000858,Structural comparison of GLUT1 to GLUT3 reveal transport regulation mechanism in sugar porter family.,Saccharomyces cerevisiae,Homo sapiens,54.592,Monomer,,SLC2A1,SLC2A1,2.40 Å,: Monomer -,X-RAY DIFFRACTION,,
4PYP,"Deng, D., Yan, C.Y., Xu, C., Wu, J.P., Sun, P.C., Hu, M.X., Yan, N.",,24847886.0,2014-05-21,,4PYP,,10.1038/nature13306,Crystal structure of the human glucose transporter GLUT1,Trichoplusia ni,Homo sapiens,55.735,Monomer,,SLC2A1,SLC2A1,3.17 Å,: Monomer -,X-RAY DIFFRACTION,,
5EQG,"Kapoor, K., Finer-Moore, J., Pedersen, B.P., Caboni, L., Waight, A.B., Hillig, R., Bringmann, P., Heisler, I., Muller, T., Siebeneicher, H., Stroud, R.M.",PMC4855560,27078104.0,2016-04-13,,5EQG,,10.1073/pnas.1603735113,Mechanism of inhibition of human glucose transporter GLUT1 is conserved between cytochalasin B and phenylalanine amides.,Saccharomyces cerevisiae,Homo sapiens,54.125,Monomer,,SLC2A1,SLC2A1,2.90 Å,: Monomer -,X-RAY DIFFRACTION,,
5EQH,"Kapoor, K., Finer-Moore, J., Pedersen, B.P., Caboni, L., Waight, A.B., Hillig, R., Bringmann, P., Heisler, I., Muller, T., Siebeneicher, H., Stroud, R.M.",PMC4855560,27078104.0,2016-04-13,,5EQH,,10.1073/pnas.1603735113,Mechanism of inhibition of human glucose transporter GLUT1 is conserved between cytochalasin B and phenylalanine amides.,Saccharomyces cerevisiae,Homo sapiens,54.125,Monomer,,SLC2A1,SLC2A1,2.99 Å,: Monomer -,X-RAY DIFFRACTION,,
5EQI,"Kapoor, K., Finer-Moore, J., Pedersen, B.P., Caboni, L., Waight, A.B., Hillig, R., Bringmann, P., Heisler, I., Muller, T., Siebeneicher, H., Stroud, R.M.",PMC4855560,27078104.0,2016-04-13,,5EQI,,10.1073/pnas.1603735113,Mechanism of inhibition of human glucose transporter GLUT1 is conserved between cytochalasin B and phenylalanine amides.,Saccharomyces cerevisiae,Homo sapiens,54.125,Monomer,,SLC2A1,SLC2A1,3.00 Å,: Monomer -,X-RAY DIFFRACTION,,
6YUZ,"Wu, D., Safarian, S., Michel, H.",PMC7474693,32817565.0,2021-01-20,,6YUZ,6.0,10.1073/pnas.2008111117,Structural basis for amino acid exchange by a human heteromeric amino acid transporter.,Homo sapiens,Homo sapiens,78.938,Homo 2-mer,,SLC3A1,SLC3A1,2.80 Å,: Homo 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6LID,"Yan, R.H., Li, Y.N., Lei, J.L., Zhou, Q.",PMC7159911,32494597.0,2020-04-29,,6LID,6.0,10.1126/sciadv.aay6379,"Cryo-EM structure of the human heteromeric amino acid transporter b0,+AT-rBAT.",Homo sapiens,Homo sapiens,80.692,Hetero 4-mer,N-Glycosylation,SLC3A1,SLC3A1,2.70 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6LID,"Yan, R.H., Li, Y.N., Lei, J.L., Zhou, Q.",PMC7159911,32494597.0,2020-04-29,,6LID,6.0,10.1126/sciadv.aay6379,"Cryo-EM structure of the human heteromeric amino acid transporter b0,+AT-rBAT.",Homo sapiens,Homo sapiens,80.692,Hetero 4-mer,N-Glycosylation,SLC3A1,SLC7A9,2.70 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6LID,"Yan, R.H., Li, Y.N., Lei, J.L., Zhou, Q.",PMC7159911,32494597.0,2020-04-29,,6LID,6.0,10.1126/sciadv.aay6379,"Cryo-EM structure of the human heteromeric amino acid transporter b0,+AT-rBAT.",Homo sapiens,Homo sapiens,55.656,Hetero 4-mer,N-Glycosylation,SLC3A1,SLC3A1,2.70 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6LID,"Yan, R.H., Li, Y.N., Lei, J.L., Zhou, Q.",PMC7159911,32494597.0,2020-04-29,,6LID,6.0,10.1126/sciadv.aay6379,"Cryo-EM structure of the human heteromeric amino acid transporter b0,+AT-rBAT.",Homo sapiens,Homo sapiens,55.656,Hetero 4-mer,N-Glycosylation,SLC3A1,SLC7A9,2.70 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6LI9,"Yan, R.H., Li, Y.N., Lei, J.L., Zhou, Q.",PMC7159911,32494597.0,2020-04-29,,6LI9,6.0,10.1126/sciadv.aay6379,"Cryo-EM structure of the human heteromeric amino acid transporter b0,+AT-rBAT.",Homo sapiens,Homo sapiens,80.692,Hetero 4-mer,N-Glycosylation,SLC3A1,SLC3A1,2.30 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6LI9,"Yan, R.H., Li, Y.N., Lei, J.L., Zhou, Q.",PMC7159911,32494597.0,2020-04-29,,6LI9,6.0,10.1126/sciadv.aay6379,"Cryo-EM structure of the human heteromeric amino acid transporter b0,+AT-rBAT.",Homo sapiens,Homo sapiens,80.692,Hetero 4-mer,N-Glycosylation,SLC3A1,SLC7A9,2.30 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6LI9,"Yan, R.H., Li, Y.N., Lei, J.L., Zhou, Q.",PMC7159911,32494597.0,2020-04-29,,6LI9,6.0,10.1126/sciadv.aay6379,"Cryo-EM structure of the human heteromeric amino acid transporter b0,+AT-rBAT.",Homo sapiens,Homo sapiens,55.656,Hetero 4-mer,N-Glycosylation,SLC3A1,SLC3A1,2.30 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6LI9,"Yan, R.H., Li, Y.N., Lei, J.L., Zhou, Q.",PMC7159911,32494597.0,2020-04-29,,6LI9,6.0,10.1126/sciadv.aay6379,"Cryo-EM structure of the human heteromeric amino acid transporter b0,+AT-rBAT.",Homo sapiens,Homo sapiens,55.656,Hetero 4-mer,N-Glycosylation,SLC3A1,SLC7A9,2.30 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6YUP,"Wu, D., Safarian, S., Michel, H.",PMC7474693,32817565.0,2021-01-20,,6YUP,6.0,10.1073/pnas.2008111117,Structural basis for amino acid exchange by a human heteromeric amino acid transporter.,Homo sapiens,Homo sapiens,78.938,Hetero 4-mer,,SLC3A1,SLC3A1,2.90 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6YUP,"Wu, D., Safarian, S., Michel, H.",PMC7474693,32817565.0,2021-01-20,,6YUP,6.0,10.1073/pnas.2008111117,Structural basis for amino acid exchange by a human heteromeric amino acid transporter.,Homo sapiens,Homo sapiens,78.938,Hetero 4-mer,,SLC3A1,SLC7A9,2.90 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6YUP,"Wu, D., Safarian, S., Michel, H.",PMC7474693,32817565.0,2021-01-20,,6YUP,6.0,10.1073/pnas.2008111117,Structural basis for amino acid exchange by a human heteromeric amino acid transporter.,Homo sapiens,Homo sapiens,53.516,Hetero 4-mer,,SLC3A1,SLC3A1,2.90 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6YUP,"Wu, D., Safarian, S., Michel, H.",PMC7474693,32817565.0,2021-01-20,,6YUP,6.0,10.1073/pnas.2008111117,Structural basis for amino acid exchange by a human heteromeric amino acid transporter.,Homo sapiens,Homo sapiens,53.516,Hetero 4-mer,,SLC3A1,SLC7A9,2.90 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7NF7,"Lee, Y., Kuehlbrandt, W.",PMC9110406,35577790.0,2022-01-19,,7NF7,3.0,10.1038/s41467-022-30293-9,"Ca 2+ -mediated higher-order assembly of heterodimers in amino acid transport system b 0,+ biogenesis and cystinuria.",Homo sapiens,Ovis aries,78.754,Homo 2-mer,N-Glycosylation,SLC3A1,SLC3A1,2.68 Å,: Homo 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7NF6,"Lee, Y., Kuehlbrandt, W.",PMC9110406,35577790.0,2022-01-19,,7NF6,4.0,10.1038/s41467-022-30293-9,"Ca 2+ -mediated higher-order assembly of heterodimers in amino acid transport system b 0,+ biogenesis and cystinuria.",Homo sapiens,Ovis aries,56.318,Hetero 2-mer,N-Glycosylation,SLC3A1,SLC3A1,3.05 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7NF6,"Lee, Y., Kuehlbrandt, W.",PMC9110406,35577790.0,2022-01-19,,7NF6,4.0,10.1038/s41467-022-30293-9,"Ca 2+ -mediated higher-order assembly of heterodimers in amino acid transport system b 0,+ biogenesis and cystinuria.",Homo sapiens,Ovis aries,56.318,Hetero 2-mer,N-Glycosylation,SLC3A1,SLC7A9,3.05 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7NF6,"Lee, Y., Kuehlbrandt, W.",PMC9110406,35577790.0,2022-01-19,,7NF6,4.0,10.1038/s41467-022-30293-9,"Ca 2+ -mediated higher-order assembly of heterodimers in amino acid transport system b 0,+ biogenesis and cystinuria.",Homo sapiens,Ovis aries,78.754,Hetero 2-mer,N-Glycosylation,SLC3A1,SLC3A1,3.05 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7NF6,"Lee, Y., Kuehlbrandt, W.",PMC9110406,35577790.0,2022-01-19,,7NF6,4.0,10.1038/s41467-022-30293-9,"Ca 2+ -mediated higher-order assembly of heterodimers in amino acid transport system b 0,+ biogenesis and cystinuria.",Homo sapiens,Ovis aries,78.754,Hetero 2-mer,N-Glycosylation,SLC3A1,SLC7A9,3.05 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7NF8,"Lee, Y., Kuehlbrandt, W.",PMC9110406,35577790.0,2022-01-19,,7NF8,4.0,10.1038/s41467-022-30293-9,"Ca 2+ -mediated higher-order assembly of heterodimers in amino acid transport system b 0,+ biogenesis and cystinuria.",Homo sapiens,Ovis aries,56.318,Hetero 4-mer,N-Glycosylation,SLC3A1,SLC3A1,2.83 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7NF8,"Lee, Y., Kuehlbrandt, W.",PMC9110406,35577790.0,2022-01-19,,7NF8,4.0,10.1038/s41467-022-30293-9,"Ca 2+ -mediated higher-order assembly of heterodimers in amino acid transport system b 0,+ biogenesis and cystinuria.",Homo sapiens,Ovis aries,56.318,Hetero 4-mer,N-Glycosylation,SLC3A1,SLC7A9,2.83 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7NF8,"Lee, Y., Kuehlbrandt, W.",PMC9110406,35577790.0,2022-01-19,,7NF8,4.0,10.1038/s41467-022-30293-9,"Ca 2+ -mediated higher-order assembly of heterodimers in amino acid transport system b 0,+ biogenesis and cystinuria.",Homo sapiens,Ovis aries,78.754,Hetero 4-mer,N-Glycosylation,SLC3A1,SLC3A1,2.83 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7NF8,"Lee, Y., Kuehlbrandt, W.",PMC9110406,35577790.0,2022-01-19,,7NF8,4.0,10.1038/s41467-022-30293-9,"Ca 2+ -mediated higher-order assembly of heterodimers in amino acid transport system b 0,+ biogenesis and cystinuria.",Homo sapiens,Ovis aries,78.754,Hetero 4-mer,N-Glycosylation,SLC3A1,SLC7A9,2.83 Å,: Hetero 4-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7X1G,"Yin, Y., Lu, Y., Zuo, P.",PMC10547724,37788993.0,2023-10-04,,7X1G,,10.1038/s41467-023-41924-0,Structural insights into the conformational changes of BTR1/SLC4A11 in complex with PIP 2.,Homo sapiens,Homo sapiens,99.684,Homo 2-mer,,SLC4A11,SLC4A11,2.94 Å,: Homo 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7X1H,"Yin, Y., Lu, Y., Zuo, P.",PMC10547724,37788993.0,2023-10-04,,7X1H,,10.1038/s41467-023-41924-0,Structural insights into the conformational changes of BTR1/SLC4A11 in complex with PIP 2.,Homo sapiens,Homo sapiens,99.684,Homo 2-mer,,SLC4A11,SLC4A11,2.96 Å,: Homo 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7X1I,"Yin, Y., Lu, Y., Zuo, P.",PMC10547724,37788993.0,2023-11-01,,7X1I,,10.1038/s41467-023-41924-0,Structural insights into the conformational changes of BTR1/SLC4A11 in complex with PIP 2.,Homo sapiens,Homo sapiens,99.684,Homo 2-mer,,SLC4A11,SLC4A11,2.94 Å,: Homo 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7X1J,"Yin, Y., Lu, Y., Zuo, P.",PMC10547724,37788993.0,2023-11-01,,7X1J,,10.1038/s41467-023-41924-0,Structural insights into the conformational changes of BTR1/SLC4A11 in complex with PIP 2.,Homo sapiens,Homo sapiens,99.684,Homo 2-mer,,SLC4A11,SLC4A11,2.84 Å,: Homo 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7WMV,"Chen, L., Niu, Y., Cui, W.",PMC9616851,36307403.0,2022-11-16,1YI,7WMV,3.0,10.1038/s41467-022-33421-7,Structural mechanism of SGLT1 inhibitors.,Homo sapiens,Homo sapiens,73.558,Hetero 2-mer,,SLC5A1,SLC5A1,3.20 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7WMV,"Chen, L., Niu, Y., Cui, W.",PMC9616851,36307403.0,2022-11-16,1YI,7WMV,3.0,10.1038/s41467-022-33421-7,Structural mechanism of SGLT1 inhibitors.,Homo sapiens,Homo sapiens,12.265,Hetero 2-mer,,SLC5A1,SLC5A1,3.20 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7YNI,"Chen, L., Niu, Y., Cui, W.",PMC10203128,37217492.0,2023-05-31,,7YNI,3.0,10.1038/s41467-023-38720-1,Structures of human SGLT in the occluded state reveal conformational changes during sugar transport.,Homo sapiens,Homo sapiens,73.558,Hetero 2-mer,,SLC5A1,SLC5A1,3.26 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7YNI,"Chen, L., Niu, Y., Cui, W.",PMC10203128,37217492.0,2023-05-31,,7YNI,3.0,10.1038/s41467-023-38720-1,Structures of human SGLT in the occluded state reveal conformational changes during sugar transport.,Homo sapiens,Homo sapiens,12.235,Hetero 2-mer,,SLC5A1,SLC5A1,3.26 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7YNJ,"Chen, L., Niu, Y., Cui, W.",PMC10203128,37217492.0,2023-05-31,,7YNJ,4.0,10.1038/s41467-023-38720-1,Structures of human SGLT in the occluded state reveal conformational changes during sugar transport.,Homo sapiens,Homo sapiens,72.949,Hetero 2-mer,,SLC5A2,SLC5A2,3.33 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7YNJ,"Chen, L., Niu, Y., Cui, W.",PMC10203128,37217492.0,2023-05-31,,7YNJ,4.0,10.1038/s41467-023-38720-1,Structures of human SGLT in the occluded state reveal conformational changes during sugar transport.,Homo sapiens,Homo sapiens,12.235,Hetero 2-mer,,SLC5A2,SLC5A2,3.33 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7YNK,"Chen, L., Niu, Y.",PMC10203128,37217492.0,2023-05-31,,7YNK,3.0,10.1038/s41467-023-38720-1,Structures of human SGLT in the occluded state reveal conformational changes during sugar transport.,Homo sapiens,Homo sapiens,72.949,Hetero 2-mer,,SLC5A2,SLC5A2,3.48 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7YNK,"Chen, L., Niu, Y.",PMC10203128,37217492.0,2023-05-31,,7YNK,3.0,10.1038/s41467-023-38720-1,Structures of human SGLT in the occluded state reveal conformational changes during sugar transport.,Homo sapiens,Homo sapiens,12.235,Hetero 2-mer,,SLC5A2,SLC5A2,3.48 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
8HB0,"Hiraizumi, M., Kishida, H., Miyaguchi, I., Nureki, O.",PMC10803289,38057552.0,2023-11-01,KZ3,8HB0,4.0,10.1038/s41594-023-01134-0,Transport and inhibition mechanism of the human SGLT2-MAP17 glucose transporter.,Homo sapiens,Homo sapiens,73.248,Hetero 2-mer,,SLC5A2,SLC5A2,2.90 Å,: Hetero 2-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
