Entry ID,Structure Author,Crystal Growth Procedure,Structural Genomics Project Center Name,PubMed Central ID,PubMed ID,Release Date,Ligand,PDB ID,Disulfide Bond Count per Deposited Model,Structure Determination Methodology,Data Collection Resolution,DOI,Title,Expression Host,Source Organism,Molecular Weight (Entity),Oligomeric State,Glycosylation Site,SLC_ID
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,68.225,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
8P2Z,"Li, H.Z., Pike, A.C.W., Chi, G., Hansen, J.S., Lee, S.G., Rodstrom, K.E.J., Bushell, S.R., Speedman, D., Evans, A., Wang, D., He, D., Shrestha, L., Nasrallah, C., Chalk, R., Moreira, T., MacLean, E.M., Marsden, B., Bountra, C., Burgess-Brown, N.A., Dafforn, T.R., Carpenter, E.P., Sauer, D.B.",,,PMC11217458,38951531,2024-06-12,,8P2Z,2,experimental,,10.1038/s41467-024-48921-x,Structure and function of the SIT1 proline transporter in complex with the COVID-19 receptor ACE2.,Homo sapiens,Homo sapiens,93.426,Hetero 2-mer,,SLC6A20
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,71.376,,,SLC6A20
8P30,"Li, H.Z., Pike, A.C.W., Chi, G., Hansen, J.S., Lee, S.G., Rodstrom, K.E.J., Bushell, S.R., Speedman, D., Evans, A., Wang, D., He, D., Shrestha, L., Nasrallah, C., Chalk, R., Moreira, T., MacLean, E.M., Marsden, B., Bountra, C., Burgess-Brown, N.A., Dafforn, T.R., Carpenter, E.P., Sauer, D.B.",,,PMC11217458,38951531,2024-06-12,,8P30,10,experimental,,10.1038/s41467-024-48921-x,Structure and function of the SIT1 proline transporter in complex with the COVID-19 receptor ACE2.,Homo sapiens,Homo sapiens,93.426,Hetero 4-mer,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,71.376,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
8P31,"Li, H.Z., Pike, A.C.W., Chi, G., Hansen, J.S., Lee, S.G., Rodstrom, K.E.J., Bushell, S.R., Speedman, D., Evans, A., Wang, D., He, D., Shrestha, L., Nasrallah, C., Chalk, R., Moreira, T., MacLean, E.M., Marsden, B., Bountra, C., Burgess-Brown, N.A., Dafforn, T.R., Carpenter, E.P., Sauer, D.B.",,,PMC11217458,38951531,2024-06-12,,8P31,10,experimental,,10.1038/s41467-024-48921-x,Structure and function of the SIT1 proline transporter in complex with the COVID-19 receptor ACE2.,Homo sapiens,Homo sapiens,93.426,Hetero 4-mer,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,71.376,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
8P2W,"Li, H.Z., Pike, A.C.W., Chi, G., Hansen, J.S., Lee, S.G., Rodstrom, K.E.J., Bushell, S.R., Speedman, D., Evans, A., Wang, D., He, D., Shrestha, L., Nasrallah, C., Chalk, R., Moreira, T., MacLean, E.M., Marsden, B., Bountra, C., Burgess-Brown, N.A., Dafforn, T.R., Carpenter, E.P., Sauer, D.B.",,,PMC11217458,38951531,2024-06-12,,8P2W,2,experimental,,10.1038/s41467-024-48921-x,Structure and function of the SIT1 proline transporter in complex with the COVID-19 receptor ACE2.,Homo sapiens,Homo sapiens,93.426,Hetero 2-mer,,SLC6A20
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,71.376,,,SLC6A20
8P2X,"Li, H.Z., Pike, A.C.W., Chi, G., Hansen, J.S., Lee, S.G., Rodstrom, K.E.J., Bushell, S.R., Speedman, D., Evans, A., Wang, D., He, D., Shrestha, L., Nasrallah, C., Chalk, R., Moreira, T., MacLean, E.M., Marsden, B., Bountra, C., Burgess-Brown, N.A., Dafforn, T.R., Carpenter, E.P., Sauer, D.B.",,,PMC11217458,38951531,2024-06-12,,8P2X,10,experimental,,10.1038/s41467-024-48921-x,Structure and function of the SIT1 proline transporter in complex with the COVID-19 receptor ACE2.,Homo sapiens,Homo sapiens,93.426,Hetero 4-mer,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,71.376,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
8P2Y,"Li, H.Z., Pike, A.C.W., Chi, G., Hansen, J.S., Lee, S.G., Rodstrom, K.E.J., Bushell, S.R., Speedman, D., Evans, A., Wang, D., He, D., Shrestha, L., Nasrallah, C., Chalk, R., Moreira, T., MacLean, E.M., Marsden, B., Bountra, C., Burgess-Brown, N.A., Dafforn, T.R., Carpenter, E.P., Sauer, D.B.",,,PMC11217458,38951531,2024-06-12,,8P2Y,10,experimental,,10.1038/s41467-024-48921-x,Structure and function of the SIT1 proline transporter in complex with the COVID-19 receptor ACE2.,Homo sapiens,Homo sapiens,93.426,Hetero 4-mer,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,71.376,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
7Y75,"Shen, Y.P., Li, Y.N., Zhang, Y.Y., Yan, R.H.",,,PMC9667838,36384914,2022-11-30,,7Y75,14,experimental,,10.1038/s41421-022-00488-x,Structures of ACE2-SIT1 recognized by Omicron variants of SARS-CoV-2.,Homo sapiens,Homo sapiens,68.225,Hetero 6-mer,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,95.38,,,SLC6A20
,,,,,,,,,,,,,,Homo sapiens,Severe acute respiratory syndrome coronavirus 2,28.526,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC6A20
,,,,,,,,,,,,,,,,,,,SLC13A5
7JSJ,"Sauer, D.B., Wang, B., Song, J., Rice, W.J., Wang, D.N.",,,PMC7933130,33597751,2021-02-24,,7JSJ,,experimental,,10.1038/s41586-021-03230-x,Structure and inhibition mechanism of the human citrate transporter NaCT.,Trichoplusia ni,Homo sapiens,63.111,Homo 2-mer,,SLC13A5
7JSK,"Sauer, D.B., Wang, B., Song, J., Rice, W.J., Wang, D.N.",,,PMC7933130,33597751,2021-02-24,,7JSK,,experimental,,10.1038/s41586-021-03230-x,Structure and inhibition mechanism of the human citrate transporter NaCT.,Trichoplusia ni,Homo sapiens,63.111,Homo 2-mer,,SLC13A5
,,,,,,,,,,,,,,,,,,,SLC17A5
8U3D,"Schmiege, P., Li, X.",,,,,2024-05-29,,8U3D,,experimental,,,Structure of Apo Sialin at pH7.5,Homo sapiens,Homo sapiens,55.681,Monomer,,SLC17A5
8U3E,"Schmiege, P., Li, X.",,,,,2024-05-29,,8U3E,,experimental,,,Structure of Apo Sialin at pH5.0,Homo sapiens,Homo sapiens,55.681,Monomer,,SLC17A5
8U3F,"Schmiege, P., Li, X.",,,,,2024-05-29,,8U3F,1,experimental,,,Structure of Apo Sialin R168K mutant,Homo sapiens,Homo sapiens,55.653,Monomer,,SLC17A5
9AYB,"Schmiege, P., Li, X.",,,,,2024-05-29,,9AYB,,experimental,,,Structure of Apo Sialin S61A mutant,Homo sapiens,Homo sapiens,55.665,Monomer,,SLC17A5
8DWI,"Hu, W., Zheng, H.",,,PMC9858498,36662855,2023-01-25,,8DWI,,experimental,,10.1126/sciadv.ade8346,The molecular mechanism of sialic acid transport mediated by Sialin.,Escherichia coli,Homo sapiens,54.684,Monomer,,SLC17A5
8U3H,"Schmiege, P., Li, X.",,,,,2024-05-29,,8U3H,,experimental,,,Structure of Fmoc-Leu-OH bound Sialin,Homo sapiens,Homo sapiens,55.681,Monomer,,SLC17A5
8U3G,"Schmiege, P., Li, X.",,,,,2024-05-29,,8U3G,,experimental,,,Structure of NAAG-bound Sialin,Homo sapiens,Homo sapiens,55.681,Monomer,,SLC17A5
,,,,,,,,,,,,,,,,,,,SLC46A1
7BC6,"Parker, J.L., Deme, J.C., Lea, S.M., Newstead, S.",,,PMC9990147,34040256,2021-05-12,,7BC6,2,experimental,,10.1038/s41586-021-03579-z,Structural basis of antifolate recognition and transport by PCFT.,Saccharomyces cerevisiae,Gallus gallus,51.367,Hetero 2-mer,,SLC46A1
,,,,,,,,,,,,,,,Lama glama,13.46,,,SLC46A1
7BC7,"Parker, J.L., Deme, J.C., Lea, S.M., Newstead, S.",,,PMC9990147,34040256,2021-05-12,,7BC7,2,experimental,,10.1038/s41586-021-03579-z,Structural basis of antifolate recognition and transport by PCFT.,Saccharomyces cerevisiae,Gallus gallus,51.367,Hetero 2-mer,,SLC46A1
,,,,,,,,,,,,,,,Lama glama,13.46,,,SLC46A1
,,,,,,,,,,,,,,,,,,,SLCO1B1
8PHW,"Ciuta, A.-D., Nosol, K., Kowal, J., Mukherjee, S., Ramirez, A.S., Stieger, B., Kossiakoff, A.A., Locher, K.P.",,,PMC10507018,37723174,2023-09-27,,8PHW,6,experimental,,10.1038/s41467-023-41552-8,Structure of human drug transporters OATP1B1 and OATP1B3.,Homo sapiens,Homo sapiens,76.519,Hetero 3-mer,,SLCO1B1
,,,,,,,,,,,,,,Escherichia coli,Homo sapiens,24.374,,,SLCO1B1
,,,,,,,,,,,,,,Escherichia coli,Homo sapiens,23.259,,,SLCO1B1
8HNB,"Shan, Z., Yang, X., Zhang, Y.",,,PMC10709409,37674011,2023-09-13,,8HNB,7,experimental,,10.1038/s41422-023-00870-8,Cryo-EM structures of human organic anion transporting polypeptide OATP1B1.,Homo sapiens,Homo sapiens,78.791,Monomer,N-Glycosylation,SLCO1B1
,,,,,,,,,,,,,,,,,,,SLCO1B1
,,,,,,,,,,,,,,,,,,,SLCO1B1
8HND,"Shan, Z., Yang, X., Liu, H., Nan, J., Yuan, Y., Zhang, Y.",,,PMC10709409,37674011,2023-09-13,,8HND,7,experimental,,10.1038/s41422-023-00870-8,Cryo-EM structures of human organic anion transporting polypeptide OATP1B1.,Homo sapiens,Homo sapiens,80.33,Monomer,N-Glycosylation,SLCO1B1
,,,,,,,,,,,,,,,,,,,SLCO1B1
,,,,,,,,,,,,,,,,,,,SLCO1B1
8K6L,"Shan, Z., Yang, X., Zhang, Y.",,,PMC10709409,37674011,2023-09-13,,8K6L,6,experimental,,10.1038/s41422-023-00870-8,Cryo-EM structures of human organic anion transporting polypeptide OATP1B1.,Homo sapiens,Homo sapiens,80.33,Monomer,N-Glycosylation,SLCO1B1
,,,,,,,,,,,,,,,,,,,SLCO1B1
,,,,,,,,,,,,,,,,,,,SLCO1B1
8HNC,"Shan, Z., Yang, X., Liu, H., Nan, J., Yuan, Y., Zhang, Y.",,,PMC10709409,37674011,2023-09-13,,8HNC,7,experimental,,10.1038/s41422-023-00870-8,Cryo-EM structures of human organic anion transporting polypeptide OATP1B1.,Homo sapiens,Homo sapiens,78.791,Monomer,N-Glycosylation,SLCO1B1
,,,,,,,,,,,,,,,,,,,SLCO1B1
,,,,,,,,,,,,,,,,,,,SLCO1B1
8HNH,"Shan, Z., Yang, X., Zhang, Y.",,,PMC10709409,37674011,2023-09-13,,8HNH,7,experimental,,10.1038/s41422-023-00870-8,Cryo-EM structures of human organic anion transporting polypeptide OATP1B1.,Homo sapiens,Homo sapiens,80.33,Monomer,N-Glycosylation,SLCO1B1
,,,,,,,,,,,,,,,,,,,SLCO1B1
,,,,,,,,,,,,,,,,,,,SLCO1B1
,,,,,,,,,,,,,,,,,,,SLC6A1
7Y7V,"Zhu, A., Huang, J., Kong, F., Tan, J., Lei, J., Yuan, Y., Yan, C.",,,8380214,37400655,2023-04-26,,7Y7V,1,experimental,,10.1038/s41594-023-00983-z,Molecular basis for substrate recognition and transport of human GABA transporter GAT1.,Homo sapiens,Homo sapiens,70.896,Monomer,,SLC6A1
7Y7Y,"Zhu, A., Huang, J., Kong, F., Tan, J., Lei, J., Yuan, Y., Yan, C.",,,8380214,37400655,2023-04-26,,7Y7Y,1,experimental,,10.1038/s41594-023-00983-z,Molecular basis for substrate recognition and transport of human GABA transporter GAT1.,Homo sapiens,Homo sapiens,70.896,Monomer,,SLC6A1
7Y7Z,"Zhu, A., Huang, J., Kong, F., Tan, J., Lei, J., Yuan, Y., Yan, C.",,,8380214,37400655,2023-04-26,,7Y7Z,1,experimental,,10.1038/s41594-023-00983-z,Molecular basis for substrate recognition and transport of human GABA transporter GAT1.,Homo sapiens,Homo sapiens,70.896,Monomer,,SLC6A1
7Y7W,"Zhu, A., Huang, J., Kong, F., Tan, J., Lei, J., Yuan, Y., Yan, C.",,,8380214,37400655,2023-04-26,,7Y7W,1,experimental,,10.1038/s41594-023-00983-z,Molecular basis for substrate recognition and transport of human GABA transporter GAT1.,Homo sapiens,Homo sapiens,70.896,Monomer,,SLC6A1
7SK2,"Gati, C., Motiwala, Z., Aduri, N.G., Shaye, H., Han, G.W., Cherezov, V.",,,PMC9394549,35676483,2022-06-08,,7SK2,1,experimental,,10.1038/s41586-022-04814-x,Structural basis of GABA reuptake inhibition.,Spodoptera frugiperda,Homo sapiens,64.887,Monomer,,SLC6A1
,,,,,,,,,,,,,,,,,,,SLC7A5
6IRS,"Yan, R.H., Zhao, X., Lei, J.L., Zhou, Q.",,,,30867591,2019-03-27,,6IRS,1,experimental,,10.1038/s41586-019-1011-z,Structure of the human LAT1-4F2hc heteromeric amino acid transporter complex.,Homo sapiens,Homo sapiens,70.161,Hetero 2-mer,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,57.245,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
6IRT,"Yan, R.H., Zhao, X., Lei, J.L., Zhou, Q.",,,,30867591,2019-03-27,,6IRT,1,experimental,,10.1038/s41586-019-1011-z,Structure of the human LAT1-4F2hc heteromeric amino acid transporter complex.,Homo sapiens,Homo sapiens,70.161,Hetero 2-mer,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,57.245,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
8XPU,"Hu, Z., Yan, R.",,,PMC11220031,38956038,2024-07-17,,8XPU,,experimental,,10.1038/s41421-024-00697-6,Structural basis for the inhibition mechanism of LAT1-4F2hc complex by JPH203.,Homo sapiens,Homo sapiens,70.161,Hetero 2-mer,,SLC7A5
,,,,,,,,,,,,,,Homo sapiens,Homo sapiens,57.187,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,,SLC7A5
,,,,,,,,,,,,,,,,,,N-Glycosylation,SLC7A5
